GROUP_SET,GROUP_VALUE,TEAM_ID,TEAM_ABBREVIATION,MAX_GAME_DATE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,CFID,CFPARAMS
By Year,2021-22,1610612751,BKN,2021-11-17T00:00:00,15,10,5,0.667,305.89166666666665,80,138,0.58,9,21,0.429,23,30,0.767,21,61,82,15,11,5,17,4,26,26,192,48,367.9,0,0,16,16,2,4,16,16,16,1,7,9,2,16,16,14,15,16,16,16,16,16,16,2,2,16,16,11,16,16,1,264,2021-22
By Year,2020-21,-1,TOT,2021-04-10T00:00:00,26,15,11,0.577,674.3966666666666,140,296,0.473,31,80,0.388,41,47,0.872,19,99,118,49,27,11,29,9,47,39,352,-34,660.1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,264,2020-21
By Year,2020-21,1610612751,BKN,2021-04-10T00:00:00,5,3,2,0.6,130.23,25,48,0.521,4,5,0.8,10,10,1.0,2,22,24,13,7,3,11,2,11,10,64,24,147.3,0,0,17,17,1,8,17,17,17,2,10,16,1,17,17,1,17,17,17,17,17,17,17,1,1,17,17,12,17,16,1,264,2020-21
By Year,2020-21,1610612759,SAS,2021-03-01T00:00:00,21,12,9,0.571,544.1666666666666,115,248,0.464,27,75,0.36,31,37,0.838,17,77,94,36,20,8,18,7,36,29,288,-58,512.8,1,0,15,15,3,12,15,15,15,16,3,4,5,15,15,5,16,15,15,14,15,15,15,3,3,15,15,15,15,15,1,264,2020-21
By Year,2019-20,1610612759,SAS,2020-03-10T00:00:00,53,23,30,0.434,1753.9383333333333,391,793,0.493,61,157,0.389,158,191,0.827,103,289,392,129,74,36,87,20,128,163,1001,-129,1959.9,14,0,14,14,11,15,13,13,13,10,1,1,4,13,13,7,14,13,13,10,13,13,7,4,5,13,13,17,13,12,1,264,2019-20
By Year,2018-19,1610612759,SAS,2019-04-10T00:00:00,81,48,33,0.593,2686.65,684,1319,0.519,10,42,0.238,349,412,0.847,251,493,744,194,144,43,107,45,179,381,1727,90,3216.8,32,0,1,5,13,10,5,3,5,3,6,6,10,2,2,3,2,4,2,1,2,10,1,14,11,2,3,10,2,5,1,264,2018-19
By Year,2017-18,1610612759,SAS,2018-04-11T00:00:00,75,45,30,0.6,2508.6183333333333,687,1347,0.51,27,92,0.293,334,399,0.837,246,389,635,152,111,43,90,44,161,342,1735,281,3013.0,27,0,6,9,11,8,8,2,4,6,3,3,8,3,3,6,3,8,6,7,8,10,5,13,10,3,2,6,4,6,1,264,2017-18
By Year,2016-17,1610612759,SAS,2017-04-12T00:00:00,72,52,20,0.722,2335.0116666666668,500,1049,0.477,23,56,0.411,220,271,0.812,172,351,523,139,98,46,88,32,158,238,1243,272,2383.1,18,0,9,3,5,2,10,11,10,14,5,5,3,12,12,10,10,11,11,8,12,9,6,7,9,11,11,7,11,11,1,264,2016-17
By Year,2015-16,1610612759,SAS,2016-04-12T00:00:00,74,61,13,0.824,2260.86,536,1045,0.513,0,16,0.0,259,302,0.858,176,456,632,110,99,38,81,37,151,240,1331,508,2512.4,26,0,7,1,4,1,11,10,11,4,16,10,16,8,9,2,8,5,7,13,11,12,8,9,7,10,10,1,10,7,1,264,2015-16
By Year,2014-15,1610612757,POR,2015-04-15T00:00:00,71,48,23,0.676,2511.588333333333,659,1415,0.466,37,105,0.352,306,362,0.845,177,549,726,124,122,48,68,37,125,288,1661,338,2944.2,39,0,10,5,6,3,7,4,2,15,2,2,6,4,4,4,7,2,3,11,6,8,11,9,4,6,4,4,6,2,1,264,2014-15
